Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,Training Time (sec)
Logistic Regression,0.7326612009749612,0.8428416925780722,0.6298747221660942,0.7209598149754264,0.8155839767988153,10.29
XGBoost,0.7156824728561932,0.8850286822331744,0.5533441099211962,0.680943648400833,0.7829545290092372,1.58
Gradient Boosting,0.713466651894527,0.8876220162414896,0.5466255809254394,0.6765873636164692,0.7749006539501542,75.65
Random Forest,0.6936904498116552,0.7996022220698169,0.5889573651242676,0.6783023533176251,0.7676077958012048,3.71
